Empresa;Data;Close;Volume;Open;High;Low
IBM;02/23/2023;$130,79 ;3725648;$131,50 ;$131,70 ;$128,86 
IBM;02/22/2023;$130,97 ;3200185;$131,90 ;$131,99 ;$130,29 
IBM;02/21/2023;$131,71 ;4257210;$134 ;$134,39 ;$131,66 
IBM;02/17/2023;$135,02 ;3466184;$134,50 ;$135,58 ;$133,89 
IBM;02/16/2023;$135 ;2965495;$135,57 ;$135,97 ;$134,59 
IBM;02/15/2023;$136,40 ;2507004;$135,20 ;$136,45 ;$135,07 
IBM;02/14/2023;$136,01 ;3202172;$137,05 ;$137,24 ;$135,05 
IBM;02/13/2023;$137,35 ;4403015;$136 ;$137,39 ;$135,85 
IBM;02/10/2023;$135,60 ;5049571;$133,78 ;$135,77 ;$133,50 
IBM;02/09/2023;$133,75 ;3918817;$134,99 ;$135,73 ;$133,34 
IBM;02/08/2023;$135,98 ;4593748;$135,71 ;$136,74 ;$135,16 
IBM;02/07/2023;$135,84 ;3737553;$135,67 ;$136,40 ;$134,45 
IBM;02/06/2023;$136,18 ;4841300;$135,83 ;$136,32 ;$134,95 
IBM;02/03/2023;$136,94 ;3755720;$136,35 ;$136,95 ;$135,53 
IBM;02/02/2023;$136,39 ;6107793;$135,96 ;$136,72 ;$134,85 
IBM;02/01/2023;$135,09 ;5428898;$134,49 ;$135,79 ;$132,80 
IBM;01/31/2023;$134,73 ;7206448;$135,50 ;$135,65 ;$133,76 
IBM;01/30/2023;$135,30 ;5375712;$134,32 ;$136,11 ;$133,98 
IBM;01/27/2023;$134,39 ;8143146;$134,44 ;$135,49 ;$133,77 
IBM;01/26/2023;$134,45 ;17548480;$137,53 ;$138,27 ;$132,98 
IBM;01/25/2023;$140,76 ;7347453;$140,47 ;$141,03 ;$139,36 
IBM;01/24/2023;$141,49 ;4407622;$141,25 ;$142,75 ;$140 
IBM;01/23/2023;$141,86 ;5898436;$141,40 ;$142,99 ;$141,06 
IBM;01/20/2023;$141,20 ;7153341;$141,67 ;$141,86 ;$140,51 
IBM;01/19/2023;$140,62 ;4833924;$140 ;$142,23 ;$139,75 
IBM;01/18/2023;$140,41 ;6445642;$144,40 ;$144,68 ;$140,23 
IBM;01/17/2023;$145,19 ;2986461;$146,42 ;$147,18 ;$145,01 
IBM;01/13/2023;$145,89 ;2455786;$144,06 ;$146,10 ;$144,01 
IBM;01/12/2023;$145,55 ;2716118;$144,88 ;$146,66 ;$144,52 
IBM;01/11/2023;$145,26 ;3268738;$145 ;$145,53 ;$143,45 
IBM;01/10/2023;$144,80 ;2152172;$143,61 ;$144,85 ;$142,90 
IBM;01/09/2023;$143,55 ;3987782;$144,08 ;$145,47 ;$143,40 
IBM;01/06/2023;$143,70 ;3574042;$142,38 ;$144,25 ;$141,58 
IBM;01/05/2023;$141,11 ;2866648;$142,44 ;$142,50 ;$140,01 
IBM;01/04/2023;$142,60 ;3869236;$142,07 ;$143,62 ;$141,37 
IBM;01/03/2023;$141,55 ;3338829;$141,10 ;$141,90 ;$140,48 
IBM;12/30/2022;$140,89 ;2858110;$140,54 ;$140,90 ;$139,45 
IBM;12/29/2022;$141,06 ;2337207;$140,58 ;$142,26 ;$140,45 
IBM;12/28/2022;$140,02 ;2539577;$142,40 ;$142,81 ;$139,95 
IBM;12/27/2022;$142,42 ;2742525;$141,73 ;$142,72 ;$141,23 
IBM;12/23/2022;$141,65 ;2092715;$140,59 ;$141,86 ;$139,60 
IBM;12/22/2022;$140,88 ;3337851;$140,95 ;$141,44 ;$138,62 
IBM;12/21/2022;$142,14 ;3793700;$141,84 ;$143,09 ;$140,98 
IBM;12/20/2022;$141,28 ;5156450;$138,84 ;$141,43 ;$138,34 
IBM;12/19/2022;$138,87 ;5282860;$140,16 ;$140,44 ;$137,20 
IBM;12/16/2022;$140,16 ;9834427;$141,25 ;$141,92 ;$138,97 
IBM;12/15/2022;$142,36 ;6687744;$148,52 ;$148,98 ;$141,58 
IBM;12/14/2022;$149,86 ;4205878;$150,47 ;$151,91 ;$148,45 
IBM;12/13/2022;$150,57 ;8811553;$150,37 ;$153,21 ;$149,95 
IBM;12/12/2022;$149,21 ;4032780;$147,82 ;$149,21 ;$146,94 
IBM;12/09/2022;$147,05 ;3047581;$147,40 ;$148,34 ;$146,97 
IBM;12/08/2022;$147,78 ;2665687;$147,90 ;$149,15 ;$147,37 
IBM;12/07/2022;$147,27 ;3971285;$147,33 ;$148,11 ;$146,29 
